airport_code,utc_timestamp,temperature,wind_speed,visibility,precipitation,snowfall,weather_condition
JFK,2024-01-02 03:00:00,38.6,13.5,10.0,0.0,0.0,Clear
LAX,2024-01-02 03:00:00,28.1,6.4,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-02 03:00:00,51.8,11.8,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-02 03:00:00,16.3,10.0,10.0,0.0,0.0,Overcast
DFW,2024-01-02 03:00:00,50.5,4.2,10.0,0.0,0.0,Clear
SEA,2024-01-02 03:00:00,30.6,9.0,10.0,0.0,0.0,Clear
SFO,2024-01-02 03:00:00,41.8,3.1,10.0,0.0,0.0,Clear
MIA,2024-01-02 03:00:00,31.9,7.3,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-02 03:00:00,33.0,4.0,10.0,0.0,0.0,Clear
DEN,2024-01-02 03:00:00,55.2,6.9,10.0,0.0,0.0,Overcast
JFK,2024-01-02 06:00:00,31.6,14.7,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-02 06:00:00,37.5,8.3,10.0,0.0,0.0,Overcast
ATL,2024-01-02 06:00:00,53.1,11.3,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-02 06:00:00,39.0,4.2,10.0,0.0,0.0,Overcast
DFW,2024-01-02 06:00:00,20.6,13.7,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-02 06:00:00,31.2,4.0,10.0,0.0,0.0,Overcast
SFO,2024-01-02 06:00:00,45.6,5.8,10.0,0.0,0.0,Overcast
MIA,2024-01-02 06:00:00,37.4,12.0,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-02 06:00:00,33.4,11.5,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-02 06:00:00,53.6,4.3,10.0,0.0,0.0,Overcast
JFK,2024-01-02 09:00:00,29.3,11.9,10.0,0.0,0.0,Clear
LAX,2024-01-02 09:00:00,20.1,11.9,10.0,0.0,0.0,Overcast
ATL,2024-01-02 09:00:00,39.9,6.4,10.0,0.0,0.0,Clear
ORD,2024-01-02 09:00:00,35.9,14.6,10.0,0.0,0.0,Clear
DFW,2024-01-02 09:00:00,35.7,3.9,10.0,0.0,0.0,Overcast
SEA,2024-01-02 09:00:00,44.8,3.9,10.0,0.0,0.0,Overcast
SFO,2024-01-02 09:00:00,49.5,10.5,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-02 09:00:00,44.6,11.8,10.0,0.0,0.0,Overcast
BOS,2024-01-02 09:00:00,33.9,6.3,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-02 09:00:00,44.8,5.8,10.0,0.0,0.0,Clear
JFK,2024-01-02 12:00:00,38.4,12.8,10.0,0.0,0.0,Clear
LAX,2024-01-02 12:00:00,53.8,3.9,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-02 12:00:00,21.8,13.4,10.0,0.0,0.0,Clear
ORD,2024-01-02 12:00:00,53.3,7.9,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-02 12:00:00,38.0,14.6,10.0,0.0,0.0,Overcast
SEA,2024-01-02 12:00:00,24.0,3.8,10.0,0.0,0.0,Clear
SFO,2024-01-02 12:00:00,19.1,41.6,2.5,1.5,3.99,Thunderstorm
MIA,2024-01-02 12:00:00,29.0,11.7,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-02 12:00:00,30.5,4.5,10.0,0.0,0.0,Overcast
DEN,2024-01-02 12:00:00,41.2,5.5,10.0,0.0,0.0,Clear
JFK,2024-01-02 15:00:00,45.6,4.4,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-02 15:00:00,50.4,8.7,10.0,0.0,0.0,Overcast
ATL,2024-01-02 15:00:00,46.8,9.7,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-02 15:00:00,35.7,10.1,10.0,0.0,0.0,Overcast
DFW,2024-01-02 15:00:00,49.9,4.6,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-02 15:00:00,43.8,10.1,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-02 15:00:00,26.3,9.6,10.0,0.0,0.0,Clear
MIA,2024-01-02 15:00:00,36.2,7.8,10.0,0.0,0.0,Overcast
BOS,2024-01-02 15:00:00,54.1,8.5,10.0,0.0,0.0,Clear
DEN,2024-01-02 15:00:00,37.3,6.1,10.0,0.0,0.0,Clear
JFK,2024-01-02 18:00:00,34.9,10.6,10.0,0.0,0.0,Overcast
LAX,2024-01-02 18:00:00,39.0,23.2,0.8,0.31,0.0,Heavy Rain
ATL,2024-01-02 18:00:00,25.9,7.9,10.0,0.0,0.0,Overcast
ORD,2024-01-02 18:00:00,40.6,14.7,10.0,0.0,0.0,Clear
DFW,2024-01-02 18:00:00,29.7,4.1,10.0,0.0,0.0,Clear
SEA,2024-01-02 18:00:00,27.1,7.3,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-02 18:00:00,35.6,3.5,10.0,0.0,0.0,Clear
MIA,2024-01-02 18:00:00,12.2,11.3,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-02 18:00:00,31.2,41.7,0.7,0.94,3.95,Snowstorm
DEN,2024-01-02 18:00:00,24.4,8.8,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-02 21:00:00,36.9,3.7,10.0,0.0,0.0,Overcast
LAX,2024-01-02 21:00:00,51.0,11.6,10.0,0.0,0.0,Overcast
ATL,2024-01-02 21:00:00,39.7,41.7,1.4,0.66,0.0,Fog
ORD,2024-01-02 21:00:00,41.5,7.5,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-02 21:00:00,46.9,9.4,10.0,0.0,0.0,Clear
SEA,2024-01-02 21:00:00,37.2,10.1,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-02 21:00:00,34.9,9.4,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-02 21:00:00,49.8,10.0,10.0,0.0,0.0,Overcast
BOS,2024-01-02 21:00:00,19.8,10.3,10.0,0.0,0.0,Overcast
DEN,2024-01-02 21:00:00,23.6,14.8,10.0,0.0,0.0,Clear
JFK,2024-01-03 00:00:00,28.8,13.2,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-03 00:00:00,22.4,5.1,10.0,0.0,0.0,Overcast
ATL,2024-01-03 00:00:00,43.0,44.4,1.7,1.11,0.0,Heavy Rain
ORD,2024-01-03 00:00:00,36.5,9.7,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-03 00:00:00,44.3,6.9,10.0,0.0,0.0,Overcast
SEA,2024-01-03 00:00:00,27.4,11.8,10.0,0.0,0.0,Overcast
SFO,2024-01-03 00:00:00,44.9,9.1,10.0,0.0,0.0,Overcast
MIA,2024-01-03 00:00:00,42.6,9.4,10.0,0.0,0.0,Clear
BOS,2024-01-03 00:00:00,27.5,9.6,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-03 00:00:00,13.6,12.7,10.0,0.0,0.0,Clear
JFK,2024-01-03 03:00:00,34.3,12.5,10.0,0.0,0.0,Overcast
LAX,2024-01-03 03:00:00,24.8,13.0,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-03 03:00:00,38.7,5.2,10.0,0.0,0.0,Overcast
ORD,2024-01-03 03:00:00,29.0,11.7,10.0,0.0,0.0,Clear
DFW,2024-01-03 03:00:00,38.4,5.0,10.0,0.0,0.0,Clear
SEA,2024-01-03 03:00:00,30.9,5.8,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-03 03:00:00,12.9,7.7,10.0,0.0,0.0,Overcast
MIA,2024-01-03 03:00:00,38.6,13.8,10.0,0.0,0.0,Clear
BOS,2024-01-03 03:00:00,45.5,5.8,10.0,0.0,0.0,Clear
DEN,2024-01-03 03:00:00,26.6,9.4,10.0,0.0,0.0,Clear
JFK,2024-01-03 06:00:00,37.4,14.3,10.0,0.0,0.0,Overcast
LAX,2024-01-03 06:00:00,42.7,11.3,10.0,0.0,0.0,Overcast
ATL,2024-01-03 06:00:00,34.9,9.9,10.0,0.0,0.0,Clear
ORD,2024-01-03 06:00:00,45.5,6.7,10.0,0.0,0.0,Clear
DFW,2024-01-03 06:00:00,30.0,11.6,10.0,0.0,0.0,Clear
SEA,2024-01-03 06:00:00,38.9,7.1,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-03 06:00:00,12.6,10.2,10.0,0.0,0.0,Overcast
MIA,2024-01-03 06:00:00,41.8,4.8,10.0,0.0,0.0,Overcast
BOS,2024-01-03 06:00:00,49.1,35.0,1.9,1.1,0.0,Snowstorm
DEN,2024-01-03 06:00:00,30.3,5.2,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-03 09:00:00,23.2,6.5,10.0,0.0,0.0,Overcast
LAX,2024-01-03 09:00:00,28.2,10.0,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-03 09:00:00,32.3,10.1,10.0,0.0,0.0,Clear
ORD,2024-01-03 09:00:00,30.6,11.5,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-03 09:00:00,29.0,21.9,0.8,1.28,3.69,Thunderstorm
SEA,2024-01-03 09:00:00,48.0,14.8,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-03 09:00:00,39.2,6.7,10.0,0.0,0.0,Overcast
MIA,2024-01-03 09:00:00,31.1,7.8,10.0,0.0,0.0,Clear
BOS,2024-01-03 09:00:00,27.0,10.2,10.0,0.0,0.0,Overcast
DEN,2024-01-03 09:00:00,41.6,9.4,10.0,0.0,0.0,Overcast
JFK,2024-01-03 12:00:00,34.3,14.0,10.0,0.0,0.0,Overcast
LAX,2024-01-03 12:00:00,43.1,42.8,1.1,0.91,0.0,Fog
ATL,2024-01-03 12:00:00,43.0,10.0,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-03 12:00:00,33.4,5.6,10.0,0.0,0.0,Clear
DFW,2024-01-03 12:00:00,32.3,15.0,10.0,0.0,0.0,Clear
SEA,2024-01-03 12:00:00,23.9,6.7,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-03 12:00:00,27.2,5.5,10.0,0.0,0.0,Clear
MIA,2024-01-03 12:00:00,41.7,7.5,10.0,0.0,0.0,Overcast
BOS,2024-01-03 12:00:00,48.9,7.8,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-03 12:00:00,8.4,4.2,10.0,0.0,0.0,Clear
JFK,2024-01-03 15:00:00,36.1,13.8,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-03 15:00:00,33.2,3.3,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-03 15:00:00,32.4,6.0,10.0,0.0,0.0,Overcast
ORD,2024-01-03 15:00:00,45.2,3.2,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-03 15:00:00,43.1,9.7,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-03 15:00:00,16.2,14.9,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-03 15:00:00,31.4,5.5,10.0,0.0,0.0,Overcast
MIA,2024-01-03 15:00:00,46.6,4.0,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-03 15:00:00,18.3,12.8,10.0,0.0,0.0,Overcast
DEN,2024-01-03 15:00:00,52.6,7.6,10.0,0.0,0.0,Overcast
JFK,2024-01-03 18:00:00,46.9,13.3,10.0,0.0,0.0,Overcast
LAX,2024-01-03 18:00:00,28.3,12.2,10.0,0.0,0.0,Clear
ATL,2024-01-03 18:00:00,34.6,12.6,10.0,0.0,0.0,Clear
ORD,2024-01-03 18:00:00,46.0,9.1,10.0,0.0,0.0,Clear
DFW,2024-01-03 18:00:00,56.6,4.7,10.0,0.0,0.0,Overcast
SEA,2024-01-03 18:00:00,41.7,4.6,10.0,0.0,0.0,Clear
SFO,2024-01-03 18:00:00,29.6,42.9,0.8,0.91,1.46,Thunderstorm
MIA,2024-01-03 18:00:00,27.2,9.0,10.0,0.0,0.0,Overcast
BOS,2024-01-03 18:00:00,26.0,6.0,10.0,0.0,0.0,Clear
DEN,2024-01-03 18:00:00,25.9,5.1,10.0,0.0,0.0,Clear
JFK,2024-01-03 21:00:00,31.8,8.1,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-03 21:00:00,46.4,11.9,10.0,0.0,0.0,Overcast
ATL,2024-01-03 21:00:00,36.5,40.9,1.6,1.38,0.0,Snowstorm
ORD,2024-01-03 21:00:00,32.8,9.8,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-03 21:00:00,40.2,8.8,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-03 21:00:00,33.8,26.6,2.0,0.17,2.24,Thunderstorm
SFO,2024-01-03 21:00:00,38.7,7.1,10.0,0.0,0.0,Clear
MIA,2024-01-03 21:00:00,24.5,11.5,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-03 21:00:00,27.0,20.1,2.9,0.11,0.86,Thunderstorm
DEN,2024-01-03 21:00:00,34.2,14.0,10.0,0.0,0.0,Clear
JFK,2024-01-04 00:00:00,41.6,4.0,10.0,0.0,0.0,Overcast
LAX,2024-01-04 00:00:00,45.1,12.7,10.0,0.0,0.0,Overcast
ATL,2024-01-04 00:00:00,43.4,13.8,10.0,0.0,0.0,Overcast
ORD,2024-01-04 00:00:00,48.7,3.6,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-04 00:00:00,43.2,37.4,1.2,1.39,0.0,Heavy Rain
SEA,2024-01-04 00:00:00,36.3,12.5,10.0,0.0,0.0,Overcast
SFO,2024-01-04 00:00:00,35.3,12.9,10.0,0.0,0.0,Clear
MIA,2024-01-04 00:00:00,35.3,7.4,10.0,0.0,0.0,Clear
BOS,2024-01-04 00:00:00,37.2,11.7,10.0,0.0,0.0,Overcast
DEN,2024-01-04 00:00:00,30.2,9.5,10.0,0.0,0.0,Clear
JFK,2024-01-04 03:00:00,47.3,8.1,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-04 03:00:00,43.4,8.5,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-04 03:00:00,42.1,15.0,10.0,0.0,0.0,Clear
ORD,2024-01-04 03:00:00,35.5,7.8,10.0,0.0,0.0,Clear
DFW,2024-01-04 03:00:00,61.0,7.8,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-04 03:00:00,28.5,8.1,10.0,0.0,0.0,Clear
SFO,2024-01-04 03:00:00,16.4,11.6,10.0,0.0,0.0,Clear
MIA,2024-01-04 03:00:00,32.0,20.4,3.0,0.7,1.85,Fog
BOS,2024-01-04 03:00:00,28.5,14.8,10.0,0.0,0.0,Overcast
DEN,2024-01-04 03:00:00,43.0,8.6,10.0,0.0,0.0,Clear
JFK,2024-01-04 06:00:00,33.5,5.8,10.0,0.0,0.0,Overcast
LAX,2024-01-04 06:00:00,28.4,5.8,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-04 06:00:00,30.8,12.9,10.0,0.0,0.0,Clear
ORD,2024-01-04 06:00:00,34.0,44.2,2.7,1.4,3.98,Thunderstorm
DFW,2024-01-04 06:00:00,36.1,15.0,10.0,0.0,0.0,Overcast
SEA,2024-01-04 06:00:00,17.9,5.7,10.0,0.0,0.0,Clear
SFO,2024-01-04 06:00:00,58.6,4.1,10.0,0.0,0.0,Clear
MIA,2024-01-04 06:00:00,44.4,6.3,10.0,0.0,0.0,Clear
BOS,2024-01-04 06:00:00,37.9,9.6,10.0,0.0,0.0,Overcast
DEN,2024-01-04 06:00:00,38.3,6.0,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-04 09:00:00,43.8,4.0,10.0,0.0,0.0,Clear
LAX,2024-01-04 09:00:00,25.5,14.9,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-04 09:00:00,0.2,12.9,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-04 09:00:00,26.3,13.4,10.0,0.0,0.0,Clear
DFW,2024-01-04 09:00:00,37.4,13.2,10.0,0.0,0.0,Overcast
SEA,2024-01-04 09:00:00,38.1,7.0,10.0,0.0,0.0,Clear
SFO,2024-01-04 09:00:00,45.7,12.0,10.0,0.0,0.0,Overcast
MIA,2024-01-04 09:00:00,46.7,14.5,10.0,0.0,0.0,Clear
BOS,2024-01-04 09:00:00,31.3,4.9,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-04 09:00:00,26.7,9.1,10.0,0.0,0.0,Overcast
JFK,2024-01-04 12:00:00,41.5,7.5,10.0,0.0,0.0,Clear
LAX,2024-01-04 12:00:00,16.1,4.3,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-04 12:00:00,34.5,7.7,10.0,0.0,0.0,Overcast
ORD,2024-01-04 12:00:00,31.7,4.2,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-04 12:00:00,42.5,3.7,10.0,0.0,0.0,Overcast
SEA,2024-01-04 12:00:00,44.8,14.9,10.0,0.0,0.0,Overcast
SFO,2024-01-04 12:00:00,38.7,20.6,1.3,0.78,0.0,Snowstorm
MIA,2024-01-04 12:00:00,29.7,3.0,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-04 12:00:00,20.5,12.5,10.0,0.0,0.0,Clear
DEN,2024-01-04 12:00:00,13.0,13.1,10.0,0.0,0.0,Overcast
JFK,2024-01-04 15:00:00,46.2,14.4,10.0,0.0,0.0,Clear
LAX,2024-01-04 15:00:00,48.1,8.0,10.0,0.0,0.0,Overcast
ATL,2024-01-04 15:00:00,16.5,11.7,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-04 15:00:00,29.3,3.4,10.0,0.0,0.0,Clear
DFW,2024-01-04 15:00:00,40.0,9.5,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-04 15:00:00,52.2,4.1,10.0,0.0,0.0,Overcast
SFO,2024-01-04 15:00:00,51.3,39.9,1.2,1.38,0.0,Heavy Rain
MIA,2024-01-04 15:00:00,10.2,12.6,10.0,0.0,0.0,Clear
BOS,2024-01-04 15:00:00,20.7,5.7,10.0,0.0,0.0,Overcast
DEN,2024-01-04 15:00:00,41.1,6.9,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-04 18:00:00,28.7,3.1,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-04 18:00:00,45.0,7.7,10.0,0.0,0.0,Overcast
ATL,2024-01-04 18:00:00,19.2,13.3,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-04 18:00:00,42.6,11.7,10.0,0.0,0.0,Overcast
DFW,2024-01-04 18:00:00,32.4,4.7,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-04 18:00:00,31.0,11.4,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-04 18:00:00,35.6,4.0,10.0,0.0,0.0,Clear
MIA,2024-01-04 18:00:00,27.2,29.9,0.8,0.89,2.91,Heavy Rain
BOS,2024-01-04 18:00:00,38.5,13.8,10.0,0.0,0.0,Clear
DEN,2024-01-04 18:00:00,36.3,3.6,10.0,0.0,0.0,Clear
JFK,2024-01-04 21:00:00,42.0,12.6,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-04 21:00:00,38.9,8.8,10.0,0.0,0.0,Overcast
ATL,2024-01-04 21:00:00,36.1,8.4,10.0,0.0,0.0,Overcast
ORD,2024-01-04 21:00:00,44.5,24.1,1.6,1.11,0.0,Fog
DFW,2024-01-04 21:00:00,28.5,5.6,10.0,0.0,0.0,Overcast
SEA,2024-01-04 21:00:00,30.2,11.9,10.0,0.0,0.0,Clear
SFO,2024-01-04 21:00:00,41.2,9.7,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-04 21:00:00,46.3,7.0,10.0,0.0,0.0,Clear
BOS,2024-01-04 21:00:00,26.6,5.6,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-04 21:00:00,34.9,26.4,1.7,1.32,0.0,Snowstorm
JFK,2024-01-05 00:00:00,46.3,11.8,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-05 00:00:00,32.3,3.5,10.0,0.0,0.0,Clear
